Sample,Cq Value
D_N_N01,31.98
D_N_N01,31.63
D_N_N02,32.55
D_N_N02,32.48
D_N_N03,33.01
D_N_N03,33.03
D_N_N04,32.27
D_N_N04,32.08
D_N_N05,36.99
D_N_N05,37.39
D_N_N06,34.74
D_N_N06,34.27
D_N_N07,32.8
D_N_N07,32.6
D_N_N08,31.8
D_N_N08,32.12
D_N_H09,33.2
D_N_H09,34.02
D_N_H10,33.45
D_N_H10,33.27
D_D_N11,36.47
D_D_N11,35.96
D_D_N12,31.48
D_D_N12,31.7
D_D_N13,32.18
D_D_N13,32.02
D_D_N14,32.34
D_D_N14,32.16
D_D_N15,31.81
D_D_N15,31.68
D_D_N16,36.45
D_D_N16,36.49
D_D_N17,32.71
D_D_N17,32.65
D_D_N18,31.11
D_D_N18,31.48
D_D_H19,36.64
D_D_H19,36.23
D_D_H20,31.76
D_D_H20,32.03
T_N_N01,30.64
T_N_N01,31.48
T_N_N02,30.4
T_N_N02,30.23
T_N_N03,30.83
T_N_N03,30.7
T_N_N04,30.12
T_N_N04,30.08
T_N_N05,34.71
T_N_N05,34.45
T_N_N06,30.77
T_N_N06,31.16
T_N_N07,32.71
T_N_N07,32.35
T_N_N08,29.9
T_N_N08,29.7
T_N_H09,30.67
T_N_H09,30.71
T_N_H10,33.53
T_N_H10,33.78
T_D_N11,32.1
T_D_N11,32.04
T_D_N12,33.13
T_D_N12,33.67
T_D_N13,32.83
T_D_N13,32.9
T_D_N14,33.29
T_D_N14,33.26
T_D_N15,33.01
T_D_N15,33.19
T_D_N16,32.56
T_D_N16,32.92
T_D_N17,31.79
T_D_N17,31.8
T_D_N18,30.75
T_D_N18,30.63
T_D_H19,30.32
T_D_H19,30.71
T_D_H20,31.16
T_D_H20,31.03